".","ចុច"
"-","ដក"
"_","គូសបញ្ជាក់"
"!","សញ្ញា​ឧទាន"
"#","សញ្ញាទ្រុងជ្រូក"
"%","ភាគរយ"
"$","ដុល្លារ"
"&","និង"
"*","សញ្ញាផ្កាយ"
"+","សញ្ញាបូក"
"/","សញ្ញាកាត់"
"=","សញ្ញាស្មើ"
"?","សញ្ញាសួរ"
",","សញ្ញាក្បៀស"
